维修ID,故障ID,维修项目,更换配件,维修费用(元),维修时间
M4906,F4906,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-07-10 17:47
M4907,F4907,更换刹车压力传感器,刹车压力传感器,480,2024-03-27 09:50
M4908,F4908,更换安全带传感器,主驾驶安全带传感器,320,2025-05-10 16:43
M4909,F4909,更换机油压力传感器,机油压力传感器,450,2024-05-11 16:43
M4910,F4910,维修ABS控制模块,ABS控制模块维修包,1200,2025-07-24 16:25
M4911,F4911,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-07-06 13:56
M4912,F4912,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-05-20 11:25
M4913,F4913,更换节气门位置传感器,节气门位置传感器,480,2024-11-29 16:27
M4914,F4914,更换左前轮速传感器,左前轮速传感器,280,2025-12-03 13:07
M4915,F4915,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-08-04 11:57
M4916,F4916,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-03-19 09:38
M4917,F4917,升级ECM控制模块程序,ECM程序升级包,980,2025-12-25 16:04
M4918,F4918,更换右后轮速传感器,右后轮速传感器,270,2025-03-03 16:05
M4919,F4919,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-06-09 12:50
M4920,F4920,更换进气温度传感器,进气温度传感器,380,2025-10-31 18:32
M4921,F4921,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-02-11 13:14
M4922,F4922,更换轮速传感器,右前轮速传感器,260,2024-04-21 15:10
M4923,F4923,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-02-06 16:55
M4924,F4924,维修空调压缩机,压缩机电磁阀,580,2025-07-31 16:03
M4925,F4925,更换催化转化器,原厂催化转化器,2800,2025-05-18 15:29
M4926,F4926,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-07-10 18:11
M4927,F4927,更换刹车压力传感器,刹车压力传感器,480,2025-05-25 15:12
M4928,F4928,更换安全带传感器,主驾驶安全带传感器,320,2024-09-12 16:44
M4929,F4929,更换机油压力传感器,机油压力传感器,450,2024-02-11 12:38
M4930,F4930,维修ABS控制模块,ABS控制模块维修包,1200,2024-03-07 19:59
M4931,F4931,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-01-05 15:58
M4932,F4932,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-09-08 11:48
M4933,F4933,更换节气门位置传感器,节气门位置传感器,480,2025-08-19 13:42
M4934,F4934,更换左前轮速传感器,左前轮速传感器,280,2025-02-20 15:21
M4935,F4935,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-08-31 09:43
M4936,F4936,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-07 17:37
M4937,F4937,升级ECM控制模块程序,ECM程序升级包,980,2025-08-12 17:02
M4938,F4938,更换右后轮速传感器,右后轮速传感器,270,2025-06-27 14:40
M4939,F4939,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-02-28 10:12
M4940,F4940,更换进气温度传感器,进气温度传感器,380,2025-11-13 17:40
M4941,F4941,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-12-16 18:49
M4942,F4942,更换轮速传感器,右前轮速传感器,260,2024-07-18 10:54
M4943,F4943,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-02-07 16:30
M4944,F4944,维修空调压缩机,压缩机电磁阀,580,2024-09-05 19:10
M4945,F4945,更换催化转化器,原厂催化转化器,2800,2024-06-19 14:54
M4946,F4946,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-04-19 12:56
M4947,F4947,更换刹车压力传感器,刹车压力传感器,480,2024-03-02 12:56
M4948,F4948,更换安全带传感器,主驾驶安全带传感器,320,2025-01-17 15:29
M4949,F4949,更换机油压力传感器,机油压力传感器,450,2024-03-04 10:52
M4950,F4950,维修ABS控制模块,ABS控制模块维修包,1200,2024-04-20 10:05
M4951,F4951,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-03-24 11:25
M4952,F4952,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-07-11 13:56
M4953,F4953,更换节气门位置传感器,节气门位置传感器,480,2025-03-25 12:20
M4954,F4954,更换左前轮速传感器,左前轮速传感器,280,2024-07-10 12:30
M4955,F4955,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-06-02 12:06
M4956,F4956,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-09-05 19:31
M4957,F4957,升级ECM控制模块程序,ECM程序升级包,980,2024-01-27 14:15
M4958,F4958,更换右后轮速传感器,右后轮速传感器,270,2024-05-19 15:16
M4959,F4959,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-09-30 19:22
M4960,F4960,更换进气温度传感器,进气温度传感器,380,2025-02-02 18:17
M4961,F4961,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-07-08 15:59
M4962,F4962,更换轮速传感器,右前轮速传感器,260,2025-12-20 18:59
M4963,F4963,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-12-26 10:53
M4964,F4964,维修空调压缩机,压缩机电磁阀,580,2025-01-29 11:44
M4965,F4965,更换催化转化器,原厂催化转化器,2800,2024-12-06 10:32
M4966,F4966,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-02-10 14:17
M4967,F4967,更换刹车压力传感器,刹车压力传感器,480,2025-02-14 15:19
M4968,F4968,更换安全带传感器,主驾驶安全带传感器,320,2025-05-20 10:32
M4969,F4969,更换机油压力传感器,机油压力传感器,450,2025-11-20 14:02
M4970,F4970,维修ABS控制模块,ABS控制模块维修包,1200,2024-12-09 17:27
M4971,F4971,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-07-15 14:56
M4972,F4972,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-08-24 15:59
M4973,F4973,更换节气门位置传感器,节气门位置传感器,480,2025-08-02 13:27
M4974,F4974,更换左前轮速传感器,左前轮速传感器,280,2025-08-11 13:21
M4975,F4975,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-12-28 10:15
M4976,F4976,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-08-12 12:10
M4977,F4977,升级ECM控制模块程序,ECM程序升级包,980,2024-11-09 18:58
M4978,F4978,更换右后轮速传感器,右后轮速传感器,270,2024-05-01 11:19
M4979,F4979,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-03-21 14:02
M4980,F4980,更换进气温度传感器,进气温度传感器,380,2024-08-02 12:45
M4981,F4981,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-10-13 09:32
M4982,F4982,更换轮速传感器,右前轮速传感器,260,2025-07-15 15:27
M4983,F4983,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-03-02 10:31
M4984,F4984,维修空调压缩机,压缩机电磁阀,580,2025-06-30 18:28
M4985,F4985,更换催化转化器,原厂催化转化器,2800,2024-04-21 14:50
M4986,F4986,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-04-18 15:21
M4987,F4987,更换刹车压力传感器,刹车压力传感器,480,2025-07-09 18:21
M4988,F4988,更换安全带传感器,主驾驶安全带传感器,320,2025-08-12 17:23
M4989,F4989,更换机油压力传感器,机油压力传感器,450,2025-12-22 11:37
M4990,F4990,维修ABS控制模块,ABS控制模块维修包,1200,2025-11-22 09:20
M4991,F4991,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-02-04 13:58
M4992,F4992,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-07-18 09:38
M4993,F4993,更换节气门位置传感器,节气门位置传感器,480,2025-07-02 18:40
M4994,F4994,更换左前轮速传感器,左前轮速传感器,280,2024-02-18 19:14
M4995,F4995,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-04-12 11:36
M4996,F4996,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-09-02 11:59
M4997,F4997,升级ECM控制模块程序,ECM程序升级包,980,2025-05-31 19:58
M4998,F4998,更换右后轮速传感器,右后轮速传感器,270,2024-09-23 18:09
M4999,F4999,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-03-02 09:36
M5000,F5000,更换进气温度传感器,进气温度传感器,380,2025-04-17 16:19
M5001,F5001,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-10-05 13:24
M5002,F5002,更换轮速传感器,右前轮速传感器,260,2025-11-28 12:28
M5003,F5003,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-10-19 11:21
M5004,F5004,维修空调压缩机,压缩机电磁阀,580,2024-08-29 11:10
M5005,F5005,更换催化转化器,原厂催化转化器,2800,2024-08-02 10:29
M5006,F5006,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-12-22 16:23
M5007,F5007,更换刹车压力传感器,刹车压力传感器,480,2024-12-29 15:16
M5008,F5008,更换安全带传感器,主驾驶安全带传感器,320,2024-08-04 13:00
M5009,F5009,更换机油压力传感器,机油压力传感器,450,2024-07-02 15:04
M5010,F5010,维修ABS控制模块,ABS控制模块维修包,1200,2025-08-06 12:41
M5011,F5011,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-07-09 10:54
M5012,F5012,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-08-15 16:45
M5013,F5013,更换节气门位置传感器,节气门位置传感器,480,2024-10-30 18:23
M5014,F5014,更换左前轮速传感器,左前轮速传感器,280,2025-01-31 17:30
M5015,F5015,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-04-25 09:25
M5016,F5016,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-04-02 16:25
M5017,F5017,升级ECM控制模块程序,ECM程序升级包,980,2025-06-29 19:09
M5018,F5018,更换右后轮速传感器,右后轮速传感器,270,2024-08-28 14:54
M5019,F5019,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-09-16 12:49
M5020,F5020,更换进气温度传感器,进气温度传感器,380,2024-02-25 14:07
M5021,F5021,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-10-20 14:40
M5022,F5022,更换轮速传感器,右前轮速传感器,260,2025-10-11 18:09
M5023,F5023,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-12-08 17:14
M5024,F5024,维修空调压缩机,压缩机电磁阀,580,2025-09-26 11:44
M5025,F5025,更换催化转化器,原厂催化转化器,2800,2025-07-06 14:17
M5026,F5026,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-05-14 15:45
M5027,F5027,更换刹车压力传感器,刹车压力传感器,480,2025-11-18 18:17
M5028,F5028,更换安全带传感器,主驾驶安全带传感器,320,2025-05-24 13:05
M5029,F5029,更换机油压力传感器,机油压力传感器,450,2024-12-22 11:45
M5030,F5030,维修ABS控制模块,ABS控制模块维修包,1200,2025-02-18 15:56
M5031,F5031,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-04-10 17:59
M5032,F5032,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-05-17 15:27
M5033,F5033,更换节气门位置传感器,节气门位置传感器,480,2024-08-02 17:09
M5034,F5034,更换左前轮速传感器,左前轮速传感器,280,2024-03-11 18:06
M5035,F5035,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-02-26 16:06
M5036,F5036,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-12-06 16:52
M5037,F5037,升级ECM控制模块程序,ECM程序升级包,980,2024-12-18 16:45
M5038,F5038,更换右后轮速传感器,右后轮速传感器,270,2024-01-02 10:32
M5039,F5039,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-10-04 16:34
M5040,F5040,更换进气温度传感器,进气温度传感器,380,2025-05-10 19:37
M5041,F5041,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-01-19 14:05
M5042,F5042,更换轮速传感器,右前轮速传感器,260,2024-02-09 18:04
M5043,F5043,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-19 18:48
M5044,F5044,维修空调压缩机,压缩机电磁阀,580,2025-03-19 10:10
M5045,F5045,更换催化转化器,原厂催化转化器,2800,2025-01-23 12:41
M5046,F5046,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-08-14 17:36
M5047,F5047,更换刹车压力传感器,刹车压力传感器,480,2024-01-07 14:46
M5048,F5048,更换安全带传感器,主驾驶安全带传感器,320,2024-10-31 12:22
M5049,F5049,更换机油压力传感器,机油压力传感器,450,2025-08-15 16:57
M5050,F5050,维修ABS控制模块,ABS控制模块维修包,1200,2024-07-27 18:06
M5051,F5051,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-04-06 15:56
M5052,F5052,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-06-29 14:16
M5053,F5053,更换节气门位置传感器,节气门位置传感器,480,2024-01-03 10:58
M5054,F5054,更换左前轮速传感器,左前轮速传感器,280,2024-10-16 16:34
M5055,F5055,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-09-29 13:36
M5056,F5056,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-12-26 12:33
M5057,F5057,升级ECM控制模块程序,ECM程序升级包,980,2025-11-04 11:38
M5058,F5058,更换右后轮速传感器,右后轮速传感器,270,2025-06-01 10:18
M5059,F5059,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-08-26 12:59
M5060,F5060,更换进气温度传感器,进气温度传感器,380,2025-02-10 10:58
M5061,F5061,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-11-01 12:16
M5062,F5062,更换轮速传感器,右前轮速传感器,260,2024-04-03 16:36
M5063,F5063,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-10-08 10:22
M5064,F5064,维修空调压缩机,压缩机电磁阀,580,2025-04-25 15:16
M5065,F5065,更换催化转化器,原厂催化转化器,2800,2025-10-20 11:13
M5066,F5066,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-04-12 18:27
M5067,F5067,更换刹车压力传感器,刹车压力传感器,480,2025-08-25 17:31
M5068,F5068,更换安全带传感器,主驾驶安全带传感器,320,2025-12-18 14:11
M5069,F5069,更换机油压力传感器,机油压力传感器,450,2024-12-29 09:19
M5070,F5070,维修ABS控制模块,ABS控制模块维修包,1200,2025-04-06 17:47
M5071,F5071,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-08-27 11:11
M5072,F5072,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-03-07 15:58
M5073,F5073,更换节气门位置传感器,节气门位置传感器,480,2025-12-25 11:35
M5074,F5074,更换左前轮速传感器,左前轮速传感器,280,2024-01-19 11:53
M5075,F5075,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-03-16 19:42
M5076,F5076,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-08-26 10:07
M5077,F5077,升级ECM控制模块程序,ECM程序升级包,980,2025-06-21 18:16
M5078,F5078,更换右后轮速传感器,右后轮速传感器,270,2024-04-18 13:11
M5079,F5079,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-02-14 17:00
M5080,F5080,更换进气温度传感器,进气温度传感器,380,2025-02-28 12:53
M5081,F5081,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-03-17 18:57
M5082,F5082,更换轮速传感器,右前轮速传感器,260,2025-12-20 16:35
M5083,F5083,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-12-25 15:20
M5084,F5084,维修空调压缩机,压缩机电磁阀,580,2024-09-11 17:03
M5085,F5085,更换催化转化器,原厂催化转化器,2800,2024-04-24 17:37
M5086,F5086,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-04-03 10:59
M5087,F5087,更换刹车压力传感器,刹车压力传感器,480,2024-03-23 14:37
M5088,F5088,更换安全带传感器,主驾驶安全带传感器,320,2025-09-05 13:47
M5089,F5089,更换机油压力传感器,机油压力传感器,450,2025-06-30 19:59
M5090,F5090,维修ABS控制模块,ABS控制模块维修包,1200,2024-04-10 12:48
M5091,F5091,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-11-06 15:16
M5092,F5092,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-07-12 12:57
M5093,F5093,更换节气门位置传感器,节气门位置传感器,480,2024-06-08 12:03
M5094,F5094,更换左前轮速传感器,左前轮速传感器,280,2024-09-12 17:47
M5095,F5095,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-07-30 11:40
M5096,F5096,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-01-07 19:30
M5097,F5097,升级ECM控制模块程序,ECM程序升级包,980,2024-07-31 18:00
M5098,F5098,更换右后轮速传感器,右后轮速传感器,270,2025-04-30 11:09
M5099,F5099,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-02-01 09:30
M5100,F5100,更换进气温度传感器,进气温度传感器,380,2024-06-01 11:39
M5101,F5101,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-07-11 14:57
M5102,F5102,更换轮速传感器,右前轮速传感器,260,2025-10-25 17:21
M5103,F5103,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-02-13 19:36
M5104,F5104,维修空调压缩机,压缩机电磁阀,580,2024-10-09 17:51
M5105,F5105,更换催化转化器,原厂催化转化器,2800,2025-02-04 12:15
M5106,F5106,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-05-23 11:43
M5107,F5107,更换刹车压力传感器,刹车压力传感器,480,2025-05-27 16:38
M5108,F5108,更换安全带传感器,主驾驶安全带传感器,320,2024-11-05 10:23
M5109,F5109,更换机油压力传感器,机油压力传感器,450,2025-01-02 19:53
M5110,F5110,维修ABS控制模块,ABS控制模块维修包,1200,2024-04-02 16:03
M5111,F5111,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-06-05 13:45
M5112,F5112,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-11-06 18:21
M5113,F5113,更换节气门位置传感器,节气门位置传感器,480,2024-09-19 09:33
M5114,F5114,更换左前轮速传感器,左前轮速传感器,280,2024-03-17 09:27
M5115,F5115,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-03-13 13:50
M5116,F5116,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-11-11 15:39
M5117,F5117,升级ECM控制模块程序,ECM程序升级包,980,2024-06-28 13:45
M5118,F5118,更换右后轮速传感器,右后轮速传感器,270,2025-08-10 17:12
M5119,F5119,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-02-14 11:34
M5120,F5120,更换进气温度传感器,进气温度传感器,380,2024-10-13 14:09
M5121,F5121,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-11-20 14:20
M5122,F5122,更换轮速传感器,右前轮速传感器,260,2024-01-01 10:19
M5123,F5123,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-06-29 10:39
M5124,F5124,维修空调压缩机,压缩机电磁阀,580,2025-01-27 14:14
M5125,F5125,更换催化转化器,原厂催化转化器,2800,2025-10-05 12:54
M5126,F5126,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-09-11 13:14
M5127,F5127,更换刹车压力传感器,刹车压力传感器,480,2025-12-12 13:18
M5128,F5128,更换安全带传感器,主驾驶安全带传感器,320,2024-02-06 10:52
M5129,F5129,更换机油压力传感器,机油压力传感器,450,2024-04-13 14:15
M5130,F5130,维修ABS控制模块,ABS控制模块维修包,1200,2024-08-29 19:08
M5131,F5131,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-10-27 10:10
M5132,F5132,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-09-02 10:05
M5133,F5133,更换节气门位置传感器,节气门位置传感器,480,2025-10-08 11:38
M5134,F5134,更换左前轮速传感器,左前轮速传感器,280,2025-11-28 14:09
M5135,F5135,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-01-17 13:06
M5136,F5136,更换右前安全气囊传感器,右前安全气囊传感器,650,2024-09-02 15:47
M5137,F5137,升级ECM控制模块程序,ECM程序升级包,980,2025-07-24 16:53
M5138,F5138,更换右后轮速传感器,右后轮速传感器,270,2025-09-13 09:32
M5139,F5139,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-04-08 16:37
M5140,F5140,更换进气温度传感器,进气温度传感器,380,2025-01-15 10:01
M5141,F5141,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-05-22 17:05
M5142,F5142,更换轮速传感器,右前轮速传感器,260,2024-12-07 17:32
M5143,F5143,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-18 11:17
M5144,F5144,维修空调压缩机,压缩机电磁阀,580,2024-12-06 15:24
M5145,F5145,更换催化转化器,原厂催化转化器,2800,2025-04-20 19:18
M5146,F5146,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-09-08 13:21
M5147,F5147,更换刹车压力传感器,刹车压力传感器,480,2025-07-01 15:59
M5148,F5148,更换安全带传感器,主驾驶安全带传感器,320,2025-08-26 15:41
M5149,F5149,更换机油压力传感器,机油压力传感器,450,2025-12-19 16:32
M5150,F5150,维修ABS控制模块,ABS控制模块维修包,1200,2024-08-12 15:21
M5151,F5151,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-06-12 11:44
M5152,F5152,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-10-07 11:08
M5153,F5153,更换节气门位置传感器,节气门位置传感器,480,2025-10-22 12:01
M5154,F5154,更换左前轮速传感器,左前轮速传感器,280,2024-04-15 17:58
M5155,F5155,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-11-12 12:43
M5156,F5156,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-05-28 12:17
M5157,F5157,升级ECM控制模块程序,ECM程序升级包,980,2025-01-04 09:22
M5158,F5158,更换右后轮速传感器,右后轮速传感器,270,2025-02-19 12:22
M5159,F5159,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-11-26 12:12
M5160,F5160,更换进气温度传感器,进气温度传感器,380,2025-02-19 14:22
M5161,F5161,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-12-14 18:50
M5162,F5162,更换轮速传感器,右前轮速传感器,260,2024-01-20 18:01
M5163,F5163,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-01-12 09:24
M5164,F5164,维修空调压缩机,压缩机电磁阀,580,2025-07-07 09:54
M5165,F5165,更换催化转化器,原厂催化转化器,2800,2024-01-19 12:10
M5166,F5166,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-10-01 13:55
M5167,F5167,更换刹车压力传感器,刹车压力传感器,480,2025-12-19 13:36
M5168,F5168,更换安全带传感器,主驾驶安全带传感器,320,2025-09-06 10:04
M5169,F5169,更换机油压力传感器,机油压力传感器,450,2024-01-28 09:09
M5170,F5170,维修ABS控制模块,ABS控制模块维修包,1200,2025-03-03 11:02
M5171,F5171,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-03-03 17:26
M5172,F5172,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-11-12 18:22
M5173,F5173,更换节气门位置传感器,节气门位置传感器,480,2025-01-27 11:10
M5174,F5174,更换左前轮速传感器,左前轮速传感器,280,2024-05-23 16:17
M5175,F5175,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2024-05-14 15:00
M5176,F5176,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-11-21 18:31
M5177,F5177,升级ECM控制模块程序,ECM程序升级包,980,2024-06-24 09:33
M5178,F5178,更换右后轮速传感器,右后轮速传感器,270,2024-03-04 17:13
M5179,F5179,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2024-05-05 09:43
M5180,F5180,更换进气温度传感器,进气温度传感器,380,2024-12-08 15:01
M5181,F5181,更换火花塞+缸线检查,铱金火花塞(4支),380,2025-04-19 13:41
M5182,F5182,更换轮速传感器,右前轮速传感器,260,2025-10-26 10:23
M5183,F5183,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-10-07 15:46
M5184,F5184,维修空调压缩机,压缩机电磁阀,580,2024-10-24 15:48
M5185,F5185,更换催化转化器,原厂催化转化器,2800,2024-04-19 19:59
M5186,F5186,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-06-10 09:31
M5187,F5187,更换刹车压力传感器,刹车压力传感器,480,2024-12-23 15:14
M5188,F5188,更换安全带传感器,主驾驶安全带传感器,320,2025-01-27 10:49
M5189,F5189,更换机油压力传感器,机油压力传感器,450,2025-07-02 13:43
M5190,F5190,维修ABS控制模块,ABS控制模块维修包,1200,2025-12-04 09:29
M5191,F5191,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2025-01-17 15:22
M5192,F5192,维修安全气囊控制模块,安全气囊控制模块编程,800,2025-12-28 13:18
M5193,F5193,更换节气门位置传感器,节气门位置传感器,480,2025-09-20 11:11
M5194,F5194,更换左前轮速传感器,左前轮速传感器,280,2024-12-19 19:03
M5195,F5195,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-07-11 11:11
M5196,F5196,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-05-20 15:35
M5197,F5197,升级ECM控制模块程序,ECM程序升级包,980,2024-08-04 11:13
M5198,F5198,更换右后轮速传感器,右后轮速传感器,270,2025-08-11 15:40
M5199,F5199,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-08-16 12:51
M5200,F5200,更换进气温度传感器,进气温度传感器,380,2025-05-02 17:20
M5201,F5201,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-08-17 14:56
M5202,F5202,更换轮速传感器,右前轮速传感器,260,2025-01-31 13:13
M5203,F5203,清洗节气门+燃油滤芯更换,燃油滤芯,420,2025-01-10 13:25
M5204,F5204,维修空调压缩机,压缩机电磁阀,580,2025-02-08 12:07
M5205,F5205,更换催化转化器,原厂催化转化器,2800,2024-03-01 13:45
M5206,F5206,更换涡轮增压器电磁阀,涡轮电磁阀,850,2024-08-22 11:33
M5207,F5207,更换刹车压力传感器,刹车压力传感器,480,2025-10-25 14:32
M5208,F5208,更换安全带传感器,主驾驶安全带传感器,320,2024-09-02 15:07
M5209,F5209,更换机油压力传感器,机油压力传感器,450,2025-01-02 10:51
M5210,F5210,维修ABS控制模块,ABS控制模块维修包,1200,2024-12-19 16:17
M5211,F5211,更换凸轮轴位置传感器,凸轮轴位置传感器,520,2024-09-09 13:39
M5212,F5212,维修安全气囊控制模块,安全气囊控制模块编程,800,2024-06-01 15:47
M5213,F5213,更换节气门位置传感器,节气门位置传感器,480,2024-05-30 13:04
M5214,F5214,更换左前轮速传感器,左前轮速传感器,280,2025-08-12 17:10
M5215,F5215,检查燃油蒸发系统管路,燃油蒸发管密封垫,350,2025-04-01 16:34
M5216,F5216,更换右前安全气囊传感器,右前安全气囊传感器,650,2025-10-27 19:26
M5217,F5217,升级ECM控制模块程序,ECM程序升级包,980,2025-01-25 14:05
M5218,F5218,更换右后轮速传感器,右后轮速传感器,270,2024-04-19 13:30
M5219,F5219,更换驾驶员侧安全气囊模块,驾驶员侧安全气囊模块,1500,2025-07-02 12:52
M5220,F5220,更换进气温度传感器,进气温度传感器,380,2025-03-03 12:34
M5221,F5221,更换火花塞+缸线检查,铱金火花塞(4支),380,2024-09-16 16:45
M5222,F5222,更换轮速传感器,右前轮速传感器,260,2025-01-13 12:21
M5223,F5223,清洗节气门+燃油滤芯更换,燃油滤芯,420,2024-07-03 18:39
M5224,F5224,维修空调压缩机,压缩机电磁阀,580,2024-07-15 13:34
M5225,F5225,更换催化转化器,原厂催化转化器,2800,2025-11-03 18:50
M5226,F5226,更换涡轮增压器电磁阀,涡轮电磁阀,850,2025-05-11 15:40
M5227,F5227,更换刹车压力传感器,刹车压力传感器,480,2025-04-10 14:19
M5228,F5228,更换安全带传感器,主驾驶安全带传感器,320,2025-12-18 14:20
