保养ID,车型,行驶里程(km),保养项目,保养时间,上次保养里程(km)
S4812,大众帕萨特,138976,机油+机滤+空气滤芯更换,2025-09-14 13:50,133976
S4813,本田CR-V,128874,变速箱油+刹车油更换,2025-07-23 14:38,118874
S4814,比亚迪宋PLUS,120114,全车检查+空调滤芯更换,2025-03-12 13:38,115114
S4815,宝马5系,146337,大保养(机油+三滤+正时皮带),2025-02-25 12:56,136337
S4816,奥迪Q5L,37093,机油+机滤+火花塞更换,2025-07-21 08:21,32093
S4817,福特锐界,24255,刹车油+刹车片+轮胎更换,2024-11-24 13:30,14255
S4818,吉利博越,121703,机油+机滤+燃油滤芯更换,2025-10-25 14:31,116703
S4819,长城魏派VV7,76491,变速箱油+空调滤芯更换,2024-07-30 09:53,66491
S4820,奔驰E级,58933,大保养(机油+三滤+刹车油),2024-06-05 16:14,48933
S4821,丰田卡罗拉,89290,机油+机滤更换,2024-10-21 09:15,84290
S4822,大众朗逸,63917,空调滤芯+空气滤芯更换,2024-08-04 08:06,53917
S4823,本田思域,69747,变速箱油更换,2024-05-02 16:42,59747
S4824,比亚迪汉,55306,全车检查+轮胎换位,2025-01-26 17:09,45306
S4825,宝马3系,75941,大保养(机油+三滤+刹车油),2024-01-02 10:08,65941
S4826,福特蒙迪欧,127401,刹车油+刹车片更换,2025-01-27 09:50,117401
S4827,吉利星越L,89301,机油+机滤+空调滤芯更换,2025-07-29 09:20,84301
S4828,奥迪A4L,118944,变速箱油+火花塞更换,2024-03-16 11:31,108944
S4829,长城哈弗H6,124848,空气滤芯+燃油滤芯更换,2024-05-04 10:45,119848
S4830,奔驰C级,137414,大保养(机油+三滤+变速箱油),2024-12-16 09:04,127414
S4831,丰田凯美瑞,60321,刹车油+冷却液更换,2025-11-25 11:30,50321
S4832,大众帕萨特,92298,机油+机滤+空气滤芯更换,2025-12-16 16:47,87298
S4833,本田CR-V,112489,变速箱油+刹车油更换,2024-08-03 15:27,102489
S4834,比亚迪宋PLUS,87325,全车检查+空调滤芯更换,2025-09-18 10:19,82325
S4835,宝马5系,102815,大保养(机油+三滤+正时皮带),2025-01-14 10:43,92815
S4836,奥迪Q5L,53471,机油+机滤+火花塞更换,2025-10-29 15:47,48471
S4837,福特锐界,71575,刹车油+刹车片+轮胎更换,2025-07-23 12:38,61575
S4838,吉利博越,88583,机油+机滤+燃油滤芯更换,2024-10-15 17:40,83583
S4839,长城魏派VV7,57575,变速箱油+空调滤芯更换,2025-01-29 09:51,47575
S4840,奔驰E级,135095,大保养(机油+三滤+刹车油),2025-07-19 11:39,125095
S4841,丰田卡罗拉,77940,机油+机滤更换,2024-03-02 12:12,72940
S4842,大众朗逸,52704,空调滤芯+空气滤芯更换,2025-05-29 14:51,42704
S4843,本田思域,135110,变速箱油更换,2025-08-02 13:04,125110
S4844,比亚迪汉,59365,全车检查+轮胎换位,2024-10-30 12:31,49365
S4845,宝马3系,66423,大保养(机油+三滤+刹车油),2025-04-19 15:33,56423
S4846,福特蒙迪欧,107186,刹车油+刹车片更换,2024-09-04 08:01,97186
S4847,吉利星越L,43483,机油+机滤+空调滤芯更换,2025-10-12 11:09,38483
S4848,奥迪A4L,69953,变速箱油+火花塞更换,2024-06-19 09:40,59953
S4849,长城哈弗H6,117245,空气滤芯+燃油滤芯更换,2024-10-21 10:51,112245
S4850,奔驰C级,41522,大保养(机油+三滤+变速箱油),2024-12-06 08:08,31522
S4851,丰田凯美瑞,81979,刹车油+冷却液更换,2024-01-06 09:13,71979
S4852,大众帕萨特,106204,机油+机滤+空气滤芯更换,2024-09-28 10:39,101204
S4853,本田CR-V,45885,变速箱油+刹车油更换,2024-05-17 08:54,35885
S4854,比亚迪宋PLUS,100434,全车检查+空调滤芯更换,2024-08-09 16:09,95434
S4855,宝马5系,98633,大保养(机油+三滤+正时皮带),2024-01-10 14:31,88633
S4856,奥迪Q5L,93444,机油+机滤+火花塞更换,2025-01-23 15:12,88444
S4857,福特锐界,64327,刹车油+刹车片+轮胎更换,2024-01-08 11:35,54327
S4858,吉利博越,46248,机油+机滤+燃油滤芯更换,2025-08-06 09:33,41248
S4859,长城魏派VV7,58231,变速箱油+空调滤芯更换,2025-09-15 09:58,48231
S4860,奔驰E级,149318,大保养(机油+三滤+刹车油),2025-12-06 15:05,139318
S4861,丰田卡罗拉,104486,机油+机滤更换,2025-06-06 08:54,99486
S4862,大众朗逸,57828,空调滤芯+空气滤芯更换,2025-12-08 11:50,47828
S4863,本田思域,69156,变速箱油更换,2025-03-23 10:52,59156
S4864,比亚迪汉,140942,全车检查+轮胎换位,2025-11-26 09:27,130942
S4865,宝马3系,39109,大保养(机油+三滤+刹车油),2025-04-17 12:37,29109
S4866,福特蒙迪欧,88696,刹车油+刹车片更换,2024-03-28 17:36,78696
S4867,吉利星越L,133926,机油+机滤+空调滤芯更换,2025-08-01 12:07,128926
S4868,奥迪A4L,66832,变速箱油+火花塞更换,2025-04-27 12:52,56832
S4869,长城哈弗H6,85507,空气滤芯+燃油滤芯更换,2025-04-27 14:14,80507
S4870,奔驰C级,87619,大保养(机油+三滤+变速箱油),2025-10-26 08:13,77619
S4871,丰田凯美瑞,66152,刹车油+冷却液更换,2024-06-15 16:14,56152
S4872,大众帕萨特,64952,机油+机滤+空气滤芯更换,2024-11-29 09:49,59952
S4873,本田CR-V,51248,变速箱油+刹车油更换,2024-02-24 16:04,41248
S4874,比亚迪宋PLUS,97927,全车检查+空调滤芯更换,2025-09-23 09:04,92927
S4875,宝马5系,79158,大保养(机油+三滤+正时皮带),2024-05-30 13:12,69158
S4876,奥迪Q5L,30268,机油+机滤+火花塞更换,2025-04-22 16:09,25268
S4877,福特锐界,104132,刹车油+刹车片+轮胎更换,2025-03-09 16:43,94132
S4878,吉利博越,65356,机油+机滤+燃油滤芯更换,2025-03-24 09:59,60356
S4879,长城魏派VV7,92940,变速箱油+空调滤芯更换,2024-05-21 13:55,82940
S4880,奔驰E级,97782,大保养(机油+三滤+刹车油),2025-12-27 08:03,87782
S4881,丰田卡罗拉,80008,机油+机滤更换,2024-11-10 16:04,75008
S4882,大众朗逸,138470,空调滤芯+空气滤芯更换,2024-08-08 15:50,128470
S4883,本田思域,45964,变速箱油更换,2025-09-28 17:21,35964
S4884,比亚迪汉,80094,全车检查+轮胎换位,2024-07-26 10:20,70094
S4885,宝马3系,127785,大保养(机油+三滤+刹车油),2024-09-27 17:01,117785
S4886,福特蒙迪欧,141819,刹车油+刹车片更换,2025-01-12 15:38,131819
S4887,吉利星越L,82955,机油+机滤+空调滤芯更换,2025-06-22 15:47,77955
S4888,奥迪A4L,114048,变速箱油+火花塞更换,2024-11-17 14:44,104048
S4889,长城哈弗H6,36117,空气滤芯+燃油滤芯更换,2025-03-16 16:23,31117
S4890,奔驰C级,86981,大保养(机油+三滤+变速箱油),2024-05-17 17:00,76981
S4891,丰田凯美瑞,38303,刹车油+冷却液更换,2024-07-26 08:46,28303
S4892,大众帕萨特,43053,机油+机滤+空气滤芯更换,2025-07-13 16:05,38053
S4893,本田CR-V,55628,变速箱油+刹车油更换,2024-05-31 08:25,45628
S4894,比亚迪宋PLUS,123329,全车检查+空调滤芯更换,2025-04-01 09:48,118329
S4895,宝马5系,143948,大保养(机油+三滤+正时皮带),2025-05-07 08:05,133948
S4896,奥迪Q5L,45417,机油+机滤+火花塞更换,2024-08-16 08:56,40417
S4897,福特锐界,139618,刹车油+刹车片+轮胎更换,2025-05-02 15:24,129618
S4898,吉利博越,43289,机油+机滤+燃油滤芯更换,2024-01-04 08:27,38289
S4899,长城魏派VV7,111982,变速箱油+空调滤芯更换,2024-07-17 08:40,101982
S4900,奔驰E级,124044,大保养(机油+三滤+刹车油),2024-03-14 09:12,114044
S4901,丰田卡罗拉,88931,机油+机滤更换,2024-02-23 08:23,83931
S4902,大众朗逸,115744,空调滤芯+空气滤芯更换,2025-01-02 09:38,105744
S4903,本田思域,36817,变速箱油更换,2025-03-06 16:03,26817
S4904,比亚迪汉,127854,全车检查+轮胎换位,2024-08-18 11:22,117854
S4905,宝马3系,118537,大保养(机油+三滤+刹车油),2024-01-05 17:04,108537
S4906,福特蒙迪欧,120564,刹车油+刹车片更换,2025-03-12 13:44,110564
S4907,吉利星越L,34807,机油+机滤+空调滤芯更换,2024-03-05 10:23,29807
S4908,奥迪A4L,103522,变速箱油+火花塞更换,2024-04-03 10:44,93522
S4909,长城哈弗H6,29496,空气滤芯+燃油滤芯更换,2024-11-05 08:54,24496
S4910,奔驰C级,136229,大保养(机油+三滤+变速箱油),2025-06-19 17:15,126229
S4911,丰田凯美瑞,26187,刹车油+冷却液更换,2024-04-11 12:39,16187
S4912,大众帕萨特,48124,机油+机滤+空气滤芯更换,2024-02-29 11:19,43124
S4913,本田CR-V,77823,变速箱油+刹车油更换,2024-10-26 14:12,67823
S4914,比亚迪宋PLUS,42425,全车检查+空调滤芯更换,2024-10-18 17:00,37425
S4915,宝马5系,145034,大保养(机油+三滤+正时皮带),2025-07-13 12:30,135034
S4916,奥迪Q5L,136070,机油+机滤+火花塞更换,2025-03-14 14:00,131070
S4917,福特锐界,44735,刹车油+刹车片+轮胎更换,2025-05-23 09:05,34735
S4918,吉利博越,83760,机油+机滤+燃油滤芯更换,2024-07-28 10:40,78760
S4919,长城魏派VV7,108569,变速箱油+空调滤芯更换,2024-04-16 16:59,98569
S4920,奔驰E级,134586,大保养(机油+三滤+刹车油),2024-03-23 16:19,124586
S4921,丰田卡罗拉,119483,机油+机滤更换,2025-06-15 08:28,114483
S4922,大众朗逸,29935,空调滤芯+空气滤芯更换,2025-08-12 08:34,19935
S4923,本田思域,122561,变速箱油更换,2024-05-29 08:41,112561
S4924,比亚迪汉,99376,全车检查+轮胎换位,2025-01-12 13:52,89376
S4925,宝马3系,74525,大保养(机油+三滤+刹车油),2024-09-21 08:48,64525
S4926,福特蒙迪欧,55601,刹车油+刹车片更换,2024-02-01 09:36,45601
S4927,吉利星越L,33453,机油+机滤+空调滤芯更换,2025-05-03 17:13,28453
S4928,奥迪A4L,57064,变速箱油+火花塞更换,2024-10-02 16:56,47064
S4929,长城哈弗H6,143380,空气滤芯+燃油滤芯更换,2025-02-10 10:24,138380
S4930,奔驰C级,24604,大保养(机油+三滤+变速箱油),2025-11-03 08:06,14604
S4931,丰田凯美瑞,78161,刹车油+冷却液更换,2025-09-24 13:19,68161
S4932,大众帕萨特,55301,机油+机滤+空气滤芯更换,2024-03-23 15:06,50301
S4933,本田CR-V,111154,变速箱油+刹车油更换,2024-07-17 11:27,101154
S4934,比亚迪宋PLUS,76275,全车检查+空调滤芯更换,2025-10-11 10:08,71275
S4935,宝马5系,137315,大保养(机油+三滤+正时皮带),2024-03-11 13:18,127315
S4936,奥迪Q5L,77169,机油+机滤+火花塞更换,2024-06-26 13:32,72169
S4937,福特锐界,23728,刹车油+刹车片+轮胎更换,2024-11-07 13:12,13728
S4938,吉利博越,149213,机油+机滤+燃油滤芯更换,2025-05-21 11:53,144213
S4939,长城魏派VV7,92346,变速箱油+空调滤芯更换,2024-08-09 12:22,82346
S4940,奔驰E级,105748,大保养(机油+三滤+刹车油),2025-02-11 13:11,95748
S4941,丰田卡罗拉,48738,机油+机滤更换,2024-11-10 13:13,43738
S4942,大众朗逸,131250,空调滤芯+空气滤芯更换,2025-11-20 14:35,121250
S4943,本田思域,37799,变速箱油更换,2025-01-14 16:58,27799
S4944,比亚迪汉,44656,全车检查+轮胎换位,2024-01-21 09:03,34656
S4945,宝马3系,61097,大保养(机油+三滤+刹车油),2025-11-04 16:22,51097
S4946,福特蒙迪欧,87445,刹车油+刹车片更换,2024-03-01 12:36,77445
S4947,吉利星越L,117981,机油+机滤+空调滤芯更换,2024-08-14 15:41,112981
S4948,奥迪A4L,120067,变速箱油+火花塞更换,2025-09-08 11:11,110067
S4949,长城哈弗H6,26414,空气滤芯+燃油滤芯更换,2024-05-25 10:03,21414
S4950,奔驰C级,58909,大保养(机油+三滤+变速箱油),2025-05-02 16:33,48909
S4951,丰田凯美瑞,69535,刹车油+冷却液更换,2024-09-27 14:57,59535
S4952,大众帕萨特,41152,机油+机滤+空气滤芯更换,2025-03-17 10:44,36152
S4953,本田CR-V,56870,变速箱油+刹车油更换,2025-12-01 15:56,46870
S4954,比亚迪宋PLUS,39817,全车检查+空调滤芯更换,2024-05-11 11:50,34817
S4955,宝马5系,115453,大保养(机油+三滤+正时皮带),2024-04-13 11:54,105453
S4956,奥迪Q5L,118249,机油+机滤+火花塞更换,2025-01-14 17:19,113249
S4957,福特锐界,55203,刹车油+刹车片+轮胎更换,2025-02-09 13:31,45203
S4958,吉利博越,87252,机油+机滤+燃油滤芯更换,2025-12-04 13:26,82252
S4959,长城魏派VV7,135981,变速箱油+空调滤芯更换,2024-03-03 08:51,125981
S4960,奔驰E级,41473,大保养(机油+三滤+刹车油),2024-11-27 13:37,31473
S4961,丰田卡罗拉,139454,机油+机滤更换,2025-11-24 16:31,134454
S4962,大众朗逸,92708,空调滤芯+空气滤芯更换,2025-01-05 11:58,82708
S4963,本田思域,52613,变速箱油更换,2025-11-07 09:32,42613
S4964,比亚迪汉,71359,全车检查+轮胎换位,2024-09-30 15:51,61359
S4965,宝马3系,32267,大保养(机油+三滤+刹车油),2024-12-15 14:45,22267
S4966,福特蒙迪欧,34909,刹车油+刹车片更换,2024-02-08 09:25,24909
S4967,吉利星越L,109921,机油+机滤+空调滤芯更换,2025-08-14 12:59,104921
S4968,奥迪A4L,130204,变速箱油+火花塞更换,2024-04-06 15:04,120204
S4969,长城哈弗H6,58069,空气滤芯+燃油滤芯更换,2024-06-23 17:16,53069
S4970,奔驰C级,149764,大保养(机油+三滤+变速箱油),2024-01-19 08:01,139764
S4971,丰田凯美瑞,146462,刹车油+冷却液更换,2024-07-22 14:23,136462
S4972,大众帕萨特,72509,机油+机滤+空气滤芯更换,2025-01-11 15:49,67509
S4973,本田CR-V,80951,变速箱油+刹车油更换,2025-05-26 15:40,70951
S4974,比亚迪宋PLUS,83803,全车检查+空调滤芯更换,2025-05-08 14:54,78803
S4975,宝马5系,94066,大保养(机油+三滤+正时皮带),2025-04-22 12:37,84066
S4976,奥迪Q5L,82657,机油+机滤+火花塞更换,2024-12-31 10:58,77657
S4977,福特锐界,148885,刹车油+刹车片+轮胎更换,2024-12-26 11:16,138885
S4978,吉利博越,137380,机油+机滤+燃油滤芯更换,2025-06-23 13:01,132380
S4979,长城魏派VV7,98489,变速箱油+空调滤芯更换,2024-06-10 08:27,88489
S4980,奔驰E级,31505,大保养(机油+三滤+刹车油),2024-06-07 10:21,21505
S4981,丰田卡罗拉,86931,机油+机滤更换,2025-04-15 13:53,81931
S4982,大众朗逸,85526,空调滤芯+空气滤芯更换,2024-06-12 10:34,75526
S4983,本田思域,66682,变速箱油更换,2024-10-19 13:59,56682
S4984,比亚迪汉,91981,全车检查+轮胎换位,2024-06-13 12:07,81981
S4985,宝马3系,114307,大保养(机油+三滤+刹车油),2025-01-13 08:15,104307
S4986,福特蒙迪欧,136875,刹车油+刹车片更换,2024-02-26 11:41,126875
S4987,吉利星越L,62383,机油+机滤+空调滤芯更换,2024-03-08 17:03,57383
S4988,奥迪A4L,45426,变速箱油+火花塞更换,2024-05-03 08:41,35426
S4989,长城哈弗H6,28882,空气滤芯+燃油滤芯更换,2024-02-07 12:01,23882
S4990,奔驰C级,84772,大保养(机油+三滤+变速箱油),2024-03-15 14:42,74772
S4991,丰田凯美瑞,133803,刹车油+冷却液更换,2025-09-07 10:11,123803
S4992,大众帕萨特,149139,机油+机滤+空气滤芯更换,2024-09-22 14:23,144139
S4993,本田CR-V,61856,变速箱油+刹车油更换,2025-01-18 12:03,51856
S4994,比亚迪宋PLUS,77425,全车检查+空调滤芯更换,2025-07-05 17:07,72425
S4995,宝马5系,58904,大保养(机油+三滤+正时皮带),2024-07-01 13:19,48904
S4996,奥迪Q5L,75138,机油+机滤+火花塞更换,2024-12-19 13:46,70138
S4997,福特锐界,48001,刹车油+刹车片+轮胎更换,2025-11-10 10:21,38001
S4998,吉利博越,36657,机油+机滤+燃油滤芯更换,2024-12-08 11:58,31657
S4999,长城魏派VV7,122043,变速箱油+空调滤芯更换,2024-10-01 11:24,112043
S5000,奔驰E级,65024,大保养(机油+三滤+刹车油),2025-08-25 09:59,55024
S5001,丰田卡罗拉,40722,机油+机滤更换,2025-12-08 12:17,35722
S5002,大众朗逸,138811,空调滤芯+空气滤芯更换,2024-07-20 09:45,128811
S5003,本田思域,54620,变速箱油更换,2025-04-24 09:33,44620
S5004,比亚迪汉,30772,全车检查+轮胎换位,2024-07-31 10:45,20772
S5005,宝马3系,25510,大保养(机油+三滤+刹车油),2025-07-04 12:42,15510
S5006,福特蒙迪欧,65007,刹车油+刹车片更换,2024-01-21 14:01,55007
S5007,吉利星越L,51167,机油+机滤+空调滤芯更换,2025-06-20 14:07,46167
S5008,奥迪A4L,99270,变速箱油+火花塞更换,2025-11-18 14:41,89270
S5009,长城哈弗H6,112967,空气滤芯+燃油滤芯更换,2024-05-08 09:14,107967
S5010,奔驰C级,77069,大保养(机油+三滤+变速箱油),2025-08-08 16:21,67069
S5011,丰田凯美瑞,132710,刹车油+冷却液更换,2024-01-17 12:29,122710
S5012,大众帕萨特,115536,机油+机滤+空气滤芯更换,2025-01-10 11:19,110536
S5013,本田CR-V,122452,变速箱油+刹车油更换,2025-02-17 17:12,112452
S5014,比亚迪宋PLUS,38247,全车检查+空调滤芯更换,2025-08-30 08:23,33247
S5015,宝马5系,37167,大保养(机油+三滤+正时皮带),2024-08-09 16:02,27167
S5016,奥迪Q5L,20000,机油+机滤+火花塞更换,2025-11-11 15:40,15000
S5017,福特锐界,63264,刹车油+刹车片+轮胎更换,2024-05-22 17:35,53264
S5018,吉利博越,109441,机油+机滤+燃油滤芯更换,2024-08-26 12:41,104441
S5019,长城魏派VV7,88918,变速箱油+空调滤芯更换,2024-05-03 13:50,78918
S5020,奔驰E级,44396,大保养(机油+三滤+刹车油),2025-06-07 14:22,34396
S5021,丰田卡罗拉,107468,机油+机滤更换,2025-12-23 11:21,102468
S5022,大众朗逸,121472,空调滤芯+空气滤芯更换,2025-04-24 14:11,111472
S5023,本田思域,142138,变速箱油更换,2024-05-28 14:09,132138
S5024,比亚迪汉,91775,全车检查+轮胎换位,2024-10-31 14:15,81775
S5025,宝马3系,133191,大保养(机油+三滤+刹车油),2025-08-31 11:16,123191
S5026,福特蒙迪欧,60295,刹车油+刹车片更换,2024-11-22 15:41,50295
S5027,吉利星越L,121591,机油+机滤+空调滤芯更换,2024-02-11 11:01,116591
S5028,奥迪A4L,96492,变速箱油+火花塞更换,2025-08-15 16:32,86492
S5029,长城哈弗H6,145510,空气滤芯+燃油滤芯更换,2024-03-01 09:26,140510
S5030,奔驰C级,106488,大保养(机油+三滤+变速箱油),2025-12-20 15:13,96488
S5031,丰田凯美瑞,58101,刹车油+冷却液更换,2025-10-25 17:11,48101
S5032,大众帕萨特,62388,机油+机滤+空气滤芯更换,2025-04-23 14:02,57388
S5033,本田CR-V,49780,变速箱油+刹车油更换,2024-03-10 09:07,39780
S5034,比亚迪宋PLUS,132407,全车检查+空调滤芯更换,2025-05-10 11:37,127407
S5035,宝马5系,46472,大保养(机油+三滤+正时皮带),2025-04-13 10:00,36472
S5036,奥迪Q5L,38927,机油+机滤+火花塞更换,2025-10-06 09:27,33927
S5037,福特锐界,119683,刹车油+刹车片+轮胎更换,2024-08-12 12:02,109683
S5038,吉利博越,34526,机油+机滤+燃油滤芯更换,2024-05-10 13:50,29526
S5039,长城魏派VV7,137163,变速箱油+空调滤芯更换,2025-11-19 12:46,127163
S5040,奔驰E级,140037,大保养(机油+三滤+刹车油),2025-02-10 12:19,130037
S5041,丰田卡罗拉,101132,机油+机滤更换,2024-05-30 16:53,96132
S5042,大众朗逸,32982,空调滤芯+空气滤芯更换,2024-07-29 08:18,22982
S5043,本田思域,106543,变速箱油更换,2024-10-14 16:25,96543
S5044,比亚迪汉,45495,全车检查+轮胎换位,2025-06-01 10:39,35495
S5045,宝马3系,52300,大保养(机油+三滤+刹车油),2025-08-16 15:31,42300
S5046,福特蒙迪欧,29051,刹车油+刹车片更换,2025-10-04 13:08,19051
S5047,吉利星越L,24230,机油+机滤+空调滤芯更换,2025-08-31 16:54,19230
S5048,奥迪A4L,108359,变速箱油+火花塞更换,2025-11-20 11:48,98359
S5049,长城哈弗H6,107229,空气滤芯+燃油滤芯更换,2025-03-01 10:39,102229
S5050,奔驰C级,136009,大保养(机油+三滤+变速箱油),2024-11-21 14:30,126009
S5051,丰田凯美瑞,142628,刹车油+冷却液更换,2025-09-02 09:16,132628
S5052,大众帕萨特,138108,机油+机滤+空气滤芯更换,2024-11-16 14:20,133108
S5053,本田CR-V,119335,变速箱油+刹车油更换,2024-11-18 08:38,109335
S5054,比亚迪宋PLUS,25113,全车检查+空调滤芯更换,2024-04-05 11:30,20113
S5055,宝马5系,42639,大保养(机油+三滤+正时皮带),2024-09-11 17:44,32639
S5056,奥迪Q5L,82556,机油+机滤+火花塞更换,2024-08-22 17:15,77556
S5057,福特锐界,115771,刹车油+刹车片+轮胎更换,2024-02-28 09:46,105771
S5058,吉利博越,90460,机油+机滤+燃油滤芯更换,2025-11-02 08:25,85460
S5059,长城魏派VV7,98005,变速箱油+空调滤芯更换,2024-11-29 14:10,88005
S5060,奔驰E级,99425,大保养(机油+三滤+刹车油),2024-09-10 09:46,89425
S5061,丰田卡罗拉,117472,机油+机滤更换,2024-06-28 11:59,112472
S5062,大众朗逸,123221,空调滤芯+空气滤芯更换,2024-09-24 12:37,113221
S5063,本田思域,64724,变速箱油更换,2025-09-14 11:55,54724
S5064,比亚迪汉,60792,全车检查+轮胎换位,2025-02-25 17:43,50792
S5065,宝马3系,57746,大保养(机油+三滤+刹车油),2024-01-08 16:57,47746
S5066,福特蒙迪欧,117673,刹车油+刹车片更换,2024-02-01 15:13,107673
S5067,吉利星越L,137220,机油+机滤+空调滤芯更换,2025-03-09 10:25,132220
S5068,奥迪A4L,70528,变速箱油+火花塞更换,2025-02-10 12:35,60528
S5069,长城哈弗H6,40501,空气滤芯+燃油滤芯更换,2025-06-01 15:12,35501
S5070,奔驰C级,126027,大保养(机油+三滤+变速箱油),2025-09-27 11:27,116027
S5071,丰田凯美瑞,142395,刹车油+冷却液更换,2025-04-22 15:40,132395
S5072,大众帕萨特,70565,机油+机滤+空气滤芯更换,2025-06-20 08:34,65565
S5073,本田CR-V,33467,变速箱油+刹车油更换,2025-12-25 15:06,23467
S5074,比亚迪宋PLUS,79726,全车检查+空调滤芯更换,2024-12-27 12:34,74726
S5075,宝马5系,36389,大保养(机油+三滤+正时皮带),2025-09-19 10:50,26389
S5076,奥迪Q5L,97242,机油+机滤+火花塞更换,2025-12-24 09:04,92242
S5077,福特锐界,102191,刹车油+刹车片+轮胎更换,2024-09-29 12:42,92191
S5078,吉利博越,28713,机油+机滤+燃油滤芯更换,2025-02-26 09:27,23713
S5079,长城魏派VV7,43916,变速箱油+空调滤芯更换,2025-03-20 12:39,33916
S5080,奔驰E级,84865,大保养(机油+三滤+刹车油),2024-02-09 15:23,74865
S5081,丰田卡罗拉,126444,机油+机滤更换,2025-12-17 10:09,121444
S5082,大众朗逸,54118,空调滤芯+空气滤芯更换,2024-03-22 12:54,44118
S5083,本田思域,130200,变速箱油更换,2024-09-30 13:06,120200
S5084,比亚迪汉,98648,全车检查+轮胎换位,2024-05-02 13:15,88648
S5085,宝马3系,121646,大保养(机油+三滤+刹车油),2025-12-09 10:31,111646
S5086,福特蒙迪欧,72081,刹车油+刹车片更换,2024-03-09 14:59,62081
S5087,吉利星越L,47244,机油+机滤+空调滤芯更换,2024-10-10 13:48,42244
S5088,奥迪A4L,121462,变速箱油+火花塞更换,2024-08-30 09:37,111462
S5089,长城哈弗H6,106493,空气滤芯+燃油滤芯更换,2024-06-15 16:43,101493
S5090,奔驰C级,141074,大保养(机油+三滤+变速箱油),2024-04-25 11:58,131074
S5091,丰田凯美瑞,101584,刹车油+冷却液更换,2025-11-19 17:35,91584
S5092,大众帕萨特,147389,机油+机滤+空气滤芯更换,2024-08-18 14:02,142389
S5093,本田CR-V,139150,变速箱油+刹车油更换,2024-11-10 14:02,129150
S5094,比亚迪宋PLUS,67749,全车检查+空调滤芯更换,2024-06-12 12:56,62749
S5095,宝马5系,103509,大保养(机油+三滤+正时皮带),2025-11-22 12:39,93509
S5096,奥迪Q5L,69774,机油+机滤+火花塞更换,2025-02-21 15:36,64774
S5097,福特锐界,61160,刹车油+刹车片+轮胎更换,2025-11-29 08:01,51160
S5098,吉利博越,21663,机油+机滤+燃油滤芯更换,2024-05-22 09:10,16663
S5099,长城魏派VV7,118959,变速箱油+空调滤芯更换,2024-08-07 12:53,108959
S5100,奔驰E级,113832,大保养(机油+三滤+刹车油),2024-09-21 16:53,103832
S5101,丰田卡罗拉,74543,机油+机滤更换,2025-09-22 13:14,69543
S5102,大众朗逸,24413,空调滤芯+空气滤芯更换,2024-05-17 13:28,14413
S5103,本田思域,76806,变速箱油更换,2025-07-11 12:19,66806
S5104,比亚迪汉,26155,全车检查+轮胎换位,2024-05-08 09:00,16155
S5105,宝马3系,77861,大保养(机油+三滤+刹车油),2025-07-26 13:34,67861
S5106,福特蒙迪欧,70947,刹车油+刹车片更换,2024-06-29 16:21,60947
S5107,吉利星越L,131685,机油+机滤+空调滤芯更换,2024-07-26 12:33,126685
S5108,奥迪A4L,136008,变速箱油+火花塞更换,2024-07-31 13:05,126008
S5109,长城哈弗H6,61075,空气滤芯+燃油滤芯更换,2025-02-22 09:49,56075
S5110,奔驰C级,141628,大保养(机油+三滤+变速箱油),2025-01-01 16:21,131628
S5111,丰田凯美瑞,126311,刹车油+冷却液更换,2025-10-25 11:27,116311
S5112,大众帕萨特,80686,机油+机滤+空气滤芯更换,2025-08-19 12:20,75686
S5113,本田CR-V,59850,变速箱油+刹车油更换,2024-04-27 17:32,49850
S5114,比亚迪宋PLUS,37466,全车检查+空调滤芯更换,2024-07-21 11:34,32466
S5115,宝马5系,64338,大保养(机油+三滤+正时皮带),2025-12-03 12:06,54338
S5116,奥迪Q5L,48149,机油+机滤+火花塞更换,2025-03-25 17:10,43149
S5117,福特锐界,37595,刹车油+刹车片+轮胎更换,2025-02-09 13:17,27595
S5118,吉利博越,124122,机油+机滤+燃油滤芯更换,2025-01-30 12:38,119122
S5119,长城魏派VV7,128815,变速箱油+空调滤芯更换,2025-05-26 08:49,118815
S5120,奔驰E级,95117,大保养(机油+三滤+刹车油),2024-01-09 12:56,85117
S5121,丰田卡罗拉,53692,机油+机滤更换,2025-03-03 09:04,48692
S5122,大众朗逸,52184,空调滤芯+空气滤芯更换,2024-04-14 13:50,42184
S5123,本田思域,92550,变速箱油更换,2024-12-12 13:23,82550
S5124,比亚迪汉,73660,全车检查+轮胎换位,2024-06-07 10:41,63660
S5125,宝马3系,136339,大保养(机油+三滤+刹车油),2025-08-14 11:56,126339
S5126,福特蒙迪欧,104580,刹车油+刹车片更换,2025-06-29 17:26,94580
S5127,吉利星越L,20889,机油+机滤+空调滤芯更换,2025-05-01 16:27,15889
S5128,奥迪A4L,32742,变速箱油+火花塞更换,2024-11-14 12:02,22742
S5129,长城哈弗H6,129576,空气滤芯+燃油滤芯更换,2024-07-12 08:56,124576
S5130,奔驰C级,24559,大保养(机油+三滤+变速箱油),2024-10-08 16:07,14559
S5131,丰田凯美瑞,49858,刹车油+冷却液更换,2025-04-24 08:08,39858
S5132,大众帕萨特,81577,机油+机滤+空气滤芯更换,2024-01-10 14:18,76577
S5133,本田CR-V,123028,变速箱油+刹车油更换,2025-05-14 10:59,113028
S5134,比亚迪宋PLUS,67233,全车检查+空调滤芯更换,2024-11-12 09:29,62233
