故障ID,故障代码,故障现象,车型,行驶里程(km),故障发生时间
F4833,P0122,节气门位置传感器电压低,本田CR-V,137399,2025-05-06 11:10
F4834,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,130937,2025-11-24 12:23
F4835,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,89208,2024-06-25 09:52
F4836,B0200,右前安全气囊传感器故障,奥迪Q5L,118311,2024-11-28 08:11
F4837,P0606,ECM内部控制模块处理器故障,福特锐界,149151,2024-11-04 10:25
F4838,C0051,右后轮速传感器电路故障,吉利博越,88444,2024-01-24 16:31
F4839,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,106667,2025-03-27 14:48
F4840,P0113,进气温度传感器电压高,奔驰E级,76530,2025-01-03 16:54
F4841,P0301,1缸失火，发动机抖动,丰田卡罗拉,124211,2025-01-13 14:18
F4842,C0045,右前轮速传感器故障,大众朗逸,65883,2025-07-25 17:48
F4843,P0171,燃油系统过稀,本田思域,61781,2025-02-25 15:25
F4844,B1234,空调压缩机不工作,比亚迪汉,92047,2024-08-11 12:33
F4845,P0420,催化转化器效率低,宝马3系,124621,2025-09-19 11:18
F4846,P0299,涡轮增压器压力不足,福特蒙迪欧,53434,2024-09-29 13:38
F4847,C0121,刹车压力传感器信号异常,吉利星越L,29109,2024-06-01 10:14
F4848,B0081,主驾驶安全带传感器故障,奥迪A4L,93143,2024-09-14 10:43
F4849,P0521,机油压力传感器电路范围故障,长城哈弗H6,121699,2025-11-28 10:05
F4850,C0561,ABS系统控制模块故障,奔驰C级,63960,2025-03-09 08:28
F4851,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,68220,2025-01-03 09:34
F4852,B0100,空气囊控制模块故障,大众帕萨特,144392,2024-10-18 17:16
F4853,P0122,节气门位置传感器电压低,本田CR-V,149712,2024-03-03 13:02
F4854,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,91195,2024-04-24 08:11
F4855,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,90583,2024-07-14 16:15
F4856,B0200,右前安全气囊传感器故障,奥迪Q5L,97806,2025-05-01 14:22
F4857,P0606,ECM内部控制模块处理器故障,福特锐界,132771,2025-03-13 15:17
F4858,C0051,右后轮速传感器电路故障,吉利博越,104152,2025-06-02 09:35
F4859,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,126141,2024-11-10 14:25
F4860,P0113,进气温度传感器电压高,奔驰E级,125290,2025-02-01 15:15
F4861,P0301,1缸失火，发动机抖动,丰田卡罗拉,117087,2024-12-02 12:46
F4862,C0045,右前轮速传感器故障,大众朗逸,96997,2025-08-19 08:15
F4863,P0171,燃油系统过稀,本田思域,110074,2025-07-11 09:01
F4864,B1234,空调压缩机不工作,比亚迪汉,112125,2025-05-22 15:54
F4865,P0420,催化转化器效率低,宝马3系,88491,2025-05-03 10:32
F4866,P0299,涡轮增压器压力不足,福特蒙迪欧,52491,2025-01-06 10:32
F4867,C0121,刹车压力传感器信号异常,吉利星越L,55305,2025-02-22 17:40
F4868,B0081,主驾驶安全带传感器故障,奥迪A4L,26825,2024-09-22 10:42
F4869,P0521,机油压力传感器电路范围故障,长城哈弗H6,65164,2025-06-20 14:59
F4870,C0561,ABS系统控制模块故障,奔驰C级,69630,2025-09-01 14:49
F4871,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,35923,2024-04-19 09:14
F4872,B0100,空气囊控制模块故障,大众帕萨特,98652,2025-04-03 09:16
F4873,P0122,节气门位置传感器电压低,本田CR-V,137873,2024-01-14 17:26
F4874,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,130601,2024-06-14 15:25
F4875,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,56771,2024-05-29 10:22
F4876,B0200,右前安全气囊传感器故障,奥迪Q5L,49985,2024-08-19 16:30
F4877,P0606,ECM内部控制模块处理器故障,福特锐界,81994,2024-06-10 11:50
F4878,C0051,右后轮速传感器电路故障,吉利博越,59869,2025-02-24 13:01
F4879,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,114699,2025-05-09 11:07
F4880,P0113,进气温度传感器电压高,奔驰E级,141294,2024-10-05 15:18
F4881,P0301,1缸失火，发动机抖动,丰田卡罗拉,129948,2025-01-18 08:23
F4882,C0045,右前轮速传感器故障,大众朗逸,105568,2025-05-10 10:34
F4883,P0171,燃油系统过稀,本田思域,92135,2025-10-28 16:11
F4884,B1234,空调压缩机不工作,比亚迪汉,80897,2024-06-06 11:35
F4885,P0420,催化转化器效率低,宝马3系,117500,2024-09-12 14:16
F4886,P0299,涡轮增压器压力不足,福特蒙迪欧,48147,2024-06-26 11:05
F4887,C0121,刹车压力传感器信号异常,吉利星越L,49743,2024-06-10 14:10
F4888,B0081,主驾驶安全带传感器故障,奥迪A4L,36511,2024-04-25 09:45
F4889,P0521,机油压力传感器电路范围故障,长城哈弗H6,88180,2025-12-14 09:22
F4890,C0561,ABS系统控制模块故障,奔驰C级,107700,2025-10-10 16:33
F4891,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,22137,2025-02-02 13:12
F4892,B0100,空气囊控制模块故障,大众帕萨特,132488,2024-07-07 09:40
F4893,P0122,节气门位置传感器电压低,本田CR-V,82100,2025-08-06 14:27
F4894,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,69612,2025-07-10 17:20
F4895,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,112538,2024-04-30 11:57
F4896,B0200,右前安全气囊传感器故障,奥迪Q5L,23223,2024-03-26 12:45
F4897,P0606,ECM内部控制模块处理器故障,福特锐界,38191,2025-10-09 12:27
F4898,C0051,右后轮速传感器电路故障,吉利博越,57599,2025-01-15 11:14
F4899,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,60202,2024-07-22 11:31
F4900,P0113,进气温度传感器电压高,奔驰E级,102627,2024-02-13 09:56
F4901,P0301,1缸失火，发动机抖动,丰田卡罗拉,66488,2024-10-16 15:00
F4902,C0045,右前轮速传感器故障,大众朗逸,98940,2025-09-15 09:42
F4903,P0171,燃油系统过稀,本田思域,38493,2025-11-26 09:34
F4904,B1234,空调压缩机不工作,比亚迪汉,21166,2024-01-10 14:19
F4905,P0420,催化转化器效率低,宝马3系,43145,2024-12-14 15:38
F4906,P0299,涡轮增压器压力不足,福特蒙迪欧,139284,2024-07-10 16:47
F4907,C0121,刹车压力传感器信号异常,吉利星越L,29659,2024-03-27 08:50
F4908,B0081,主驾驶安全带传感器故障,奥迪A4L,147764,2025-05-10 14:43
F4909,P0521,机油压力传感器电路范围故障,长城哈弗H6,112498,2024-05-11 15:43
F4910,C0561,ABS系统控制模块故障,奔驰C级,81409,2025-07-24 14:25
F4911,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,32279,2024-07-06 11:56
F4912,B0100,空气囊控制模块故障,大众帕萨特,131035,2024-05-20 10:25
F4913,P0122,节气门位置传感器电压低,本田CR-V,124463,2024-11-29 14:27
F4914,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,40796,2025-12-03 12:07
F4915,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,22238,2025-08-04 10:57
F4916,B0200,右前安全气囊传感器故障,奥迪Q5L,100756,2024-03-19 08:38
F4917,P0606,ECM内部控制模块处理器故障,福特锐界,109872,2025-12-25 14:04
F4918,C0051,右后轮速传感器电路故障,吉利博越,133524,2025-03-03 14:05
F4919,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,29886,2024-06-09 11:50
F4920,P0113,进气温度传感器电压高,奔驰E级,21605,2025-10-31 16:32
F4921,P0301,1缸失火，发动机抖动,丰田卡罗拉,62696,2024-02-11 12:14
F4922,C0045,右前轮速传感器故障,大众朗逸,39657,2024-04-21 14:10
F4923,P0171,燃油系统过稀,本田思域,75615,2025-02-06 15:55
F4924,B1234,空调压缩机不工作,比亚迪汉,53749,2025-07-31 14:03
F4925,P0420,催化转化器效率低,宝马3系,149806,2025-05-18 14:29
F4926,P0299,涡轮增压器压力不足,福特蒙迪欧,71403,2024-07-10 17:11
F4927,C0121,刹车压力传感器信号异常,吉利星越L,84701,2025-05-25 13:12
F4928,B0081,主驾驶安全带传感器故障,奥迪A4L,87702,2024-09-12 15:44
F4929,P0521,机油压力传感器电路范围故障,长城哈弗H6,42896,2024-02-11 11:38
F4930,C0561,ABS系统控制模块故障,奔驰C级,128967,2024-03-07 17:59
F4931,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,22332,2025-01-05 14:58
F4932,B0100,空气囊控制模块故障,大众帕萨特,44736,2024-09-08 10:48
F4933,P0122,节气门位置传感器电压低,本田CR-V,108063,2025-08-19 11:42
F4934,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,29428,2025-02-20 13:21
F4935,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,65402,2024-08-31 08:43
F4936,B0200,右前安全气囊传感器故障,奥迪Q5L,135539,2024-12-07 15:37
F4937,P0606,ECM内部控制模块处理器故障,福特锐界,57357,2025-08-12 15:02
F4938,C0051,右后轮速传感器电路故障,吉利博越,51548,2025-06-27 13:40
F4939,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,76365,2025-02-28 08:12
F4940,P0113,进气温度传感器电压高,奔驰E级,34031,2025-11-13 16:40
F4941,P0301,1缸失火，发动机抖动,丰田卡罗拉,82114,2024-12-16 16:49
F4942,C0045,右前轮速传感器故障,大众朗逸,43216,2024-07-18 08:54
F4943,P0171,燃油系统过稀,本田思域,117616,2024-02-07 14:30
F4944,B1234,空调压缩机不工作,比亚迪汉,62715,2024-09-05 17:10
F4945,P0420,催化转化器效率低,宝马3系,43277,2024-06-19 13:54
F4946,P0299,涡轮增压器压力不足,福特蒙迪欧,146936,2024-04-19 11:56
F4947,C0121,刹车压力传感器信号异常,吉利星越L,147246,2024-03-02 10:56
F4948,B0081,主驾驶安全带传感器故障,奥迪A4L,41114,2025-01-17 14:29
F4949,P0521,机油压力传感器电路范围故障,长城哈弗H6,139293,2024-03-04 09:52
F4950,C0561,ABS系统控制模块故障,奔驰C级,122767,2024-04-20 09:05
F4951,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,117214,2025-03-24 09:25
F4952,B0100,空气囊控制模块故障,大众帕萨特,134142,2024-07-11 12:56
F4953,P0122,节气门位置传感器电压低,本田CR-V,66835,2025-03-25 11:20
F4954,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,41522,2024-07-10 11:30
F4955,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,46370,2025-06-02 11:06
F4956,B0200,右前安全气囊传感器故障,奥迪Q5L,130866,2024-09-05 17:31
F4957,P0606,ECM内部控制模块处理器故障,福特锐界,64687,2024-01-27 13:15
F4958,C0051,右后轮速传感器电路故障,吉利博越,102094,2024-05-19 14:16
F4959,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,119975,2025-09-30 17:22
F4960,P0113,进气温度传感器电压高,奔驰E级,136061,2025-02-02 17:17
F4961,P0301,1缸失火，发动机抖动,丰田卡罗拉,25817,2024-07-08 14:59
F4962,C0045,右前轮速传感器故障,大众朗逸,66632,2025-12-20 17:59
F4963,P0171,燃油系统过稀,本田思域,130899,2024-12-26 08:53
F4964,B1234,空调压缩机不工作,比亚迪汉,53454,2025-01-29 09:44
F4965,P0420,催化转化器效率低,宝马3系,103115,2024-12-06 08:32
F4966,P0299,涡轮增压器压力不足,福特蒙迪欧,54994,2025-02-10 13:17
F4967,C0121,刹车压力传感器信号异常,吉利星越L,64576,2025-02-14 13:19
F4968,B0081,主驾驶安全带传感器故障,奥迪A4L,25325,2025-05-20 09:32
F4969,P0521,机油压力传感器电路范围故障,长城哈弗H6,146670,2025-11-20 13:02
F4970,C0561,ABS系统控制模块故障,奔驰C级,65632,2024-12-09 15:27
F4971,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,37747,2024-07-15 12:56
F4972,B0100,空气囊控制模块故障,大众帕萨特,29526,2024-08-24 13:59
F4973,P0122,节气门位置传感器电压低,本田CR-V,25274,2025-08-02 11:27
F4974,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,56731,2025-08-11 11:21
F4975,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,24523,2024-12-28 08:15
F4976,B0200,右前安全气囊传感器故障,奥迪Q5L,30226,2025-08-12 11:10
F4977,P0606,ECM内部控制模块处理器故障,福特锐界,86704,2024-11-09 16:58
F4978,C0051,右后轮速传感器电路故障,吉利博越,130298,2024-05-01 10:19
F4979,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,97986,2025-03-21 13:02
F4980,P0113,进气温度传感器电压高,奔驰E级,108894,2024-08-02 10:45
F4981,P0301,1缸失火，发动机抖动,丰田卡罗拉,58842,2024-10-13 08:32
F4982,C0045,右前轮速传感器故障,大众朗逸,76682,2025-07-15 14:27
F4983,P0171,燃油系统过稀,本田思域,56897,2025-03-02 09:31
F4984,B1234,空调压缩机不工作,比亚迪汉,135389,2025-06-30 17:28
F4985,P0420,催化转化器效率低,宝马3系,61131,2024-04-21 12:50
F4986,P0299,涡轮增压器压力不足,福特蒙迪欧,42245,2024-04-18 14:21
F4987,C0121,刹车压力传感器信号异常,吉利星越L,72715,2025-07-09 16:21
F4988,B0081,主驾驶安全带传感器故障,奥迪A4L,79361,2025-08-12 15:23
F4989,P0521,机油压力传感器电路范围故障,长城哈弗H6,105752,2025-12-22 09:37
F4990,C0561,ABS系统控制模块故障,奔驰C级,38694,2025-11-22 08:20
F4991,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,32472,2025-02-04 12:58
F4992,B0100,空气囊控制模块故障,大众帕萨特,26194,2025-07-18 08:38
F4993,P0122,节气门位置传感器电压低,本田CR-V,57231,2025-07-02 17:40
F4994,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,102482,2024-02-18 17:14
F4995,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,48118,2025-04-12 09:36
F4996,B0200,右前安全气囊传感器故障,奥迪Q5L,100173,2025-09-02 10:59
F4997,P0606,ECM内部控制模块处理器故障,福特锐界,126702,2025-05-31 17:58
F4998,C0051,右后轮速传感器电路故障,吉利博越,54187,2024-09-23 16:09
F4999,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,139600,2024-03-02 08:36
F5000,P0113,进气温度传感器电压高,奔驰E级,45702,2025-04-17 14:19
F5001,P0301,1缸失火，发动机抖动,丰田卡罗拉,89048,2025-10-05 12:24
F5002,C0045,右前轮速传感器故障,大众朗逸,114865,2025-11-28 10:28
F5003,P0171,燃油系统过稀,本田思域,46833,2025-10-19 09:21
F5004,B1234,空调压缩机不工作,比亚迪汉,69421,2024-08-29 10:10
F5005,P0420,催化转化器效率低,宝马3系,149664,2024-08-02 09:29
F5006,P0299,涡轮增压器压力不足,福特蒙迪欧,67407,2025-12-22 14:23
F5007,C0121,刹车压力传感器信号异常,吉利星越L,71161,2024-12-29 13:16
F5008,B0081,主驾驶安全带传感器故障,奥迪A4L,28857,2024-08-04 11:00
F5009,P0521,机油压力传感器电路范围故障,长城哈弗H6,37582,2024-07-02 13:04
F5010,C0561,ABS系统控制模块故障,奔驰C级,24515,2025-08-06 10:41
F5011,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,86854,2024-07-09 08:54
F5012,B0100,空气囊控制模块故障,大众帕萨特,98059,2025-08-15 14:45
F5013,P0122,节气门位置传感器电压低,本田CR-V,100698,2024-10-30 17:23
F5014,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,131529,2025-01-31 15:30
F5015,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,133830,2024-04-25 08:25
F5016,B0200,右前安全气囊传感器故障,奥迪Q5L,54249,2024-04-02 15:25
F5017,P0606,ECM内部控制模块处理器故障,福特锐界,149518,2025-06-29 17:09
F5018,C0051,右后轮速传感器电路故障,吉利博越,49751,2024-08-28 12:54
F5019,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,28295,2024-09-16 11:49
F5020,P0113,进气温度传感器电压高,奔驰E级,117096,2024-02-25 12:07
F5021,P0301,1缸失火，发动机抖动,丰田卡罗拉,23096,2025-10-20 13:40
F5022,C0045,右前轮速传感器故障,大众朗逸,72285,2025-10-11 16:09
F5023,P0171,燃油系统过稀,本田思域,97241,2024-12-08 15:14
F5024,B1234,空调压缩机不工作,比亚迪汉,115005,2025-09-26 10:44
F5025,P0420,催化转化器效率低,宝马3系,123948,2025-07-06 12:17
F5026,P0299,涡轮增压器压力不足,福特蒙迪欧,71367,2025-05-14 14:45
F5027,C0121,刹车压力传感器信号异常,吉利星越L,22030,2025-11-18 17:17
F5028,B0081,主驾驶安全带传感器故障,奥迪A4L,112568,2025-05-24 11:05
F5029,P0521,机油压力传感器电路范围故障,长城哈弗H6,141999,2024-12-22 09:45
F5030,C0561,ABS系统控制模块故障,奔驰C级,97581,2025-02-18 14:56
F5031,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,89864,2024-04-10 15:59
F5032,B0100,空气囊控制模块故障,大众帕萨特,129725,2025-05-17 13:27
F5033,P0122,节气门位置传感器电压低,本田CR-V,45432,2024-08-02 16:09
F5034,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,44337,2024-03-11 17:06
F5035,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,109533,2025-02-26 15:06
F5036,B0200,右前安全气囊传感器故障,奥迪Q5L,92457,2024-12-06 14:52
F5037,P0606,ECM内部控制模块处理器故障,福特锐界,78115,2024-12-18 14:45
F5038,C0051,右后轮速传感器电路故障,吉利博越,103757,2024-01-02 08:32
F5039,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,113440,2025-10-04 14:34
F5040,P0113,进气温度传感器电压高,奔驰E级,81052,2025-05-10 17:37
F5041,P0301,1缸失火，发动机抖动,丰田卡罗拉,27294,2024-01-19 13:05
F5042,C0045,右前轮速传感器故障,大众朗逸,25749,2024-02-09 16:04
F5043,P0171,燃油系统过稀,本田思域,33013,2024-01-19 16:48
F5044,B1234,空调压缩机不工作,比亚迪汉,122389,2025-03-19 08:10
F5045,P0420,催化转化器效率低,宝马3系,20927,2025-01-23 11:41
F5046,P0299,涡轮增压器压力不足,福特蒙迪欧,96623,2025-08-14 15:36
F5047,C0121,刹车压力传感器信号异常,吉利星越L,83228,2024-01-07 12:46
F5048,B0081,主驾驶安全带传感器故障,奥迪A4L,57841,2024-10-31 11:22
F5049,P0521,机油压力传感器电路范围故障,长城哈弗H6,82464,2025-08-15 15:57
F5050,C0561,ABS系统控制模块故障,奔驰C级,95610,2024-07-27 17:06
F5051,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,129514,2025-04-06 14:56
F5052,B0100,空气囊控制模块故障,大众帕萨特,81661,2025-06-29 13:16
F5053,P0122,节气门位置传感器电压低,本田CR-V,25396,2024-01-03 08:58
F5054,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,104801,2024-10-16 15:34
F5055,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,141607,2025-09-29 12:36
F5056,B0200,右前安全气囊传感器故障,奥迪Q5L,59276,2025-12-26 10:33
F5057,P0606,ECM内部控制模块处理器故障,福特锐界,148245,2025-11-04 10:38
F5058,C0051,右后轮速传感器电路故障,吉利博越,95214,2025-06-01 09:18
F5059,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,46401,2025-08-26 11:59
F5060,P0113,进气温度传感器电压高,奔驰E级,115537,2025-02-10 09:58
F5061,P0301,1缸失火，发动机抖动,丰田卡罗拉,55200,2025-11-01 11:16
F5062,C0045,右前轮速传感器故障,大众朗逸,36388,2024-04-03 14:36
F5063,P0171,燃油系统过稀,本田思域,93550,2024-10-08 09:22
F5064,B1234,空调压缩机不工作,比亚迪汉,145080,2025-04-25 14:16
F5065,P0420,催化转化器效率低,宝马3系,143328,2025-10-20 09:13
F5066,P0299,涡轮增压器压力不足,福特蒙迪欧,137792,2025-04-12 16:27
F5067,C0121,刹车压力传感器信号异常,吉利星越L,83362,2025-08-25 15:31
F5068,B0081,主驾驶安全带传感器故障,奥迪A4L,40413,2025-12-18 12:11
F5069,P0521,机油压力传感器电路范围故障,长城哈弗H6,22918,2024-12-29 08:19
F5070,C0561,ABS系统控制模块故障,奔驰C级,37671,2025-04-06 15:47
F5071,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,71730,2025-08-27 09:11
F5072,B0100,空气囊控制模块故障,大众帕萨特,45752,2025-03-07 14:58
F5073,P0122,节气门位置传感器电压低,本田CR-V,134957,2025-12-25 09:35
F5074,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,84645,2024-01-19 09:53
F5075,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,74838,2024-03-16 17:42
F5076,B0200,右前安全气囊传感器故障,奥迪Q5L,128430,2025-08-26 08:07
F5077,P0606,ECM内部控制模块处理器故障,福特锐界,24376,2025-06-21 16:16
F5078,C0051,右后轮速传感器电路故障,吉利博越,62594,2024-04-18 11:11
F5079,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,92551,2025-02-14 16:00
F5080,P0113,进气温度传感器电压高,奔驰E级,27231,2025-02-28 10:53
F5081,P0301,1缸失火，发动机抖动,丰田卡罗拉,59318,2025-03-17 16:57
F5082,C0045,右前轮速传感器故障,大众朗逸,35276,2025-12-20 15:35
F5083,P0171,燃油系统过稀,本田思域,80945,2024-12-25 14:20
F5084,B1234,空调压缩机不工作,比亚迪汉,52414,2024-09-11 15:03
F5085,P0420,催化转化器效率低,宝马3系,90373,2024-04-24 16:37
F5086,P0299,涡轮增压器压力不足,福特蒙迪欧,124817,2024-04-03 09:59
F5087,C0121,刹车压力传感器信号异常,吉利星越L,86710,2024-03-23 12:37
F5088,B0081,主驾驶安全带传感器故障,奥迪A4L,27845,2025-09-05 11:47
F5089,P0521,机油压力传感器电路范围故障,长城哈弗H6,77556,2025-06-30 17:59
F5090,C0561,ABS系统控制模块故障,奔驰C级,27865,2024-04-10 10:48
F5091,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,53337,2025-11-06 14:16
F5092,B0100,空气囊控制模块故障,大众帕萨特,56881,2024-07-12 10:57
F5093,P0122,节气门位置传感器电压低,本田CR-V,113822,2024-06-08 10:03
F5094,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,48370,2024-09-12 15:47
F5095,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,47837,2024-07-30 10:40
F5096,B0200,右前安全气囊传感器故障,奥迪Q5L,85337,2024-01-07 17:30
F5097,P0606,ECM内部控制模块处理器故障,福特锐界,85458,2024-07-31 17:00
F5098,C0051,右后轮速传感器电路故障,吉利博越,110007,2025-04-30 09:09
F5099,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,26326,2025-02-01 08:30
F5100,P0113,进气温度传感器电压高,奔驰E级,51821,2024-06-01 09:39
F5101,P0301,1缸失火，发动机抖动,丰田卡罗拉,65073,2024-07-11 12:57
F5102,C0045,右前轮速传感器故障,大众朗逸,133895,2025-10-25 16:21
F5103,P0171,燃油系统过稀,本田思域,101974,2025-02-13 17:36
F5104,B1234,空调压缩机不工作,比亚迪汉,44251,2024-10-09 16:51
F5105,P0420,催化转化器效率低,宝马3系,91919,2025-02-04 10:15
F5106,P0299,涡轮增压器压力不足,福特蒙迪欧,20593,2025-05-23 09:43
F5107,C0121,刹车压力传感器信号异常,吉利星越L,80963,2025-05-27 15:38
F5108,B0081,主驾驶安全带传感器故障,奥迪A4L,93233,2024-11-05 09:23
F5109,P0521,机油压力传感器电路范围故障,长城哈弗H6,38901,2025-01-02 17:53
F5110,C0561,ABS系统控制模块故障,奔驰C级,69952,2024-04-02 14:03
F5111,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,130602,2024-06-05 11:45
F5112,B0100,空气囊控制模块故障,大众帕萨特,34111,2025-11-06 16:21
F5113,P0122,节气门位置传感器电压低,本田CR-V,123889,2024-09-19 08:33
F5114,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,85888,2024-03-17 08:27
F5115,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,42517,2024-03-13 12:50
F5116,B0200,右前安全气囊传感器故障,奥迪Q5L,32894,2025-11-11 13:39
F5117,P0606,ECM内部控制模块处理器故障,福特锐界,123369,2024-06-28 12:45
F5118,C0051,右后轮速传感器电路故障,吉利博越,84687,2025-08-10 16:12
F5119,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,43784,2024-02-14 09:34
F5120,P0113,进气温度传感器电压高,奔驰E级,44885,2024-10-13 12:09
F5121,P0301,1缸失火，发动机抖动,丰田卡罗拉,136396,2025-11-20 12:20
F5122,C0045,右前轮速传感器故障,大众朗逸,39121,2024-01-01 09:19
F5123,P0171,燃油系统过稀,本田思域,123530,2025-06-29 08:39
F5124,B1234,空调压缩机不工作,比亚迪汉,118403,2025-01-27 12:14
F5125,P0420,催化转化器效率低,宝马3系,73639,2025-10-05 11:54
F5126,P0299,涡轮增压器压力不足,福特蒙迪欧,107994,2025-09-11 11:14
F5127,C0121,刹车压力传感器信号异常,吉利星越L,105826,2025-12-12 11:18
F5128,B0081,主驾驶安全带传感器故障,奥迪A4L,24279,2024-02-06 08:52
F5129,P0521,机油压力传感器电路范围故障,长城哈弗H6,79356,2024-04-13 13:15
F5130,C0561,ABS系统控制模块故障,奔驰C级,22424,2024-08-29 17:08
F5131,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,72495,2025-10-27 09:10
F5132,B0100,空气囊控制模块故障,大众帕萨特,134246,2025-09-02 08:05
F5133,P0122,节气门位置传感器电压低,本田CR-V,116533,2025-10-08 10:38
F5134,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,100199,2025-11-28 12:09
F5135,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,57963,2025-01-17 12:06
F5136,B0200,右前安全气囊传感器故障,奥迪Q5L,115138,2024-09-02 13:47
F5137,P0606,ECM内部控制模块处理器故障,福特锐界,128601,2025-07-24 14:53
F5138,C0051,右后轮速传感器电路故障,吉利博越,71061,2025-09-13 08:32
F5139,B0016,驾驶员侧安全气囊模块故障,长城魏派VV7,57006,2024-04-08 14:37
F5140,P0113,进气温度传感器电压高,奔驰E级,145548,2025-01-15 08:01
F5141,P0301,1缸失火，发动机抖动,丰田卡罗拉,131287,2025-05-22 15:05
F5142,C0045,右前轮速传感器故障,大众朗逸,149212,2024-12-07 16:32
F5143,P0171,燃油系统过稀,本田思域,44974,2024-01-18 10:17
F5144,B1234,空调压缩机不工作,比亚迪汉,102398,2024-12-06 13:24
F5145,P0420,催化转化器效率低,宝马3系,125642,2025-04-20 17:18
F5146,P0299,涡轮增压器压力不足,福特蒙迪欧,57958,2025-09-08 11:21
F5147,C0121,刹车压力传感器信号异常,吉利星越L,24793,2025-07-01 13:59
F5148,B0081,主驾驶安全带传感器故障,奥迪A4L,67282,2025-08-26 13:41
F5149,P0521,机油压力传感器电路范围故障,长城哈弗H6,39630,2025-12-19 15:32
F5150,C0561,ABS系统控制模块故障,奔驰C级,88573,2024-08-12 14:21
F5151,P0340,凸轮轴位置传感器电路故障,丰田凯美瑞,63359,2025-06-12 10:44
F5152,B0100,空气囊控制模块故障,大众帕萨特,68324,2024-10-07 09:08
F5153,P0122,节气门位置传感器电压低,本田CR-V,110764,2025-10-22 10:01
F5154,C0035,左前轮速传感器电路故障,比亚迪宋PLUS,51810,2024-04-15 16:58
F5155,P0442,燃油蒸发系统泄漏（小泄漏）,宝马5系,82373,2025-11-12 10:43
F5156,B0200,右前安全气囊传感器故障,奥迪Q5L,132511,2025-05-28 11:17
F5157,P0606,ECM内部控制模块处理器故障,福特锐界,45448,2025-01-04 08:22
F5158,C0051,右后轮速传感器电路故障,吉利博越,144762,2025-02-19 10:22
